2025-02-20 23:53:28 startup archives unpack
2025-02-20 23:53:29 install libsigsegv2:amd64 <none> 2.13-1
2025-02-20 23:53:29 status triggers-pending libc-bin:amd64 2.31-13+deb11u11
2025-02-20 23:53:29 status half-installed libsigsegv2:amd64 2.13-1
2025-02-20 23:53:29 status unpacked libsigsegv2:amd64 2.13-1
2025-02-20 23:53:29 startup packages configure
2025-02-20 23:53:29 configure libsigsegv2:amd64 2.13-1 <none>
2025-02-20 23:53:29 status unpacked libsigsegv2:amd64 2.13-1
2025-02-20 23:53:29 status half-configured libsigsegv2:amd64 2.13-1
2025-02-20 23:53:29 status installed libsigsegv2:amd64 2.13-1
2025-02-20 23:53:29 startup archives unpack
2025-02-20 23:53:29 install gawk:amd64 <none> 1:5.1.0-1
2025-02-20 23:53:29 status half-installed gawk:amd64 1:5.1.0-1
2025-02-20 23:53:30 status triggers-pending man-db:amd64 2.9.4-2
2025-02-20 23:53:30 status unpacked gawk:amd64 1:5.1.0-1
2025-02-20 23:53:30 install mysql-common:all <none> 5.8+1.0.7
2025-02-20 23:53:30 status half-installed mysql-common:all 5.8+1.0.7
2025-02-20 23:53:30 status unpacked mysql-common:all 5.8+1.0.7
2025-02-20 23:53:30 install mariadb-common:all <none> 1:10.5.26-0+deb11u2
2025-02-20 23:53:30 status half-installed mariadb-common:all 1:10.5.26-0+deb11u2
2025-02-20 23:53:30 status unpacked mariadb-common:all 1:10.5.26-0+deb11u2
2025-02-20 23:53:30 install galera-4:amd64 <none> 26.4.20-0+deb11u1
2025-02-20 23:53:30 status half-installed galera-4:amd64 26.4.20-0+deb11u1
2025-02-20 23:53:30 status unpacked galera-4:amd64 26.4.20-0+deb11u1
2025-02-20 23:53:31 install libdbi-perl:amd64 <none> 1.643-3+b1
2025-02-20 23:53:31 status half-installed libdbi-perl:amd64 1.643-3+b1
2025-02-20 23:53:31 status unpacked libdbi-perl:amd64 1.643-3+b1
2025-02-20 23:53:31 install lsof:amd64 <none> 4.93.2+dfsg-1.1
2025-02-20 23:53:31 status half-installed lsof:amd64 4.93.2+dfsg-1.1
2025-02-20 23:53:31 status unpacked lsof:amd64 4.93.2+dfsg-1.1
2025-02-20 23:53:31 install libconfig-inifiles-perl:all <none> 3.000003-1
2025-02-20 23:53:31 status half-installed libconfig-inifiles-perl:all 3.000003-1
2025-02-20 23:53:32 status unpacked libconfig-inifiles-perl:all 3.000003-1
