Jan 01 08:01:22 webapp01 sudo: devops01 : TTY=pts/2 ; PWD=/var/www/webapp ; USER=root ; COMMAND=/usr/bin/tail -n 100 /var/log/syslog
Jan 01 08:01:40 webapp02 sudo: devops01 : TTY=tty1 ; PWD=/var/log ; USER=root ; COMMAND=/usr/bin/apt install nginx
Jan 01 08:01:44 db01 sudo: devops01 : TTY=pts/1 ; PWD=/opt/app ; USER=root ; COMMAND=/usr/bin/du -sh /var/log
Jan 01 08:01:48 db01 sudo: backupsvc : TTY=tty1 ; PWD=/var/log ; USER=root ; COMMAND=/usr/bin/tail -n 100 /var/log/syslog
Jan 01 08:02:46 cache01 sudo: monitor : TTY=pts/0 ; PWD=/var/www/webapp ; USER=root ; COMMAND=/usr/sbin/service cron restart
Jan 01 08:03:30 api01 sudo: webadmin : TTY=pts/1 ; PWD=/etc ; USER=root ; COMMAND=/usr/bin/systemctl status nginx
Jan 01 08:03:42 webapp02 sudo: secops01 : TTY=pts/2 ; PWD=/etc ; USER=root ; COMMAND=/usr/bin/du -sh /var/log
Jan 01 08:04:16 staging01 sudo: admin01 : TTY=tty1 ; PWD=/home/admin01 ; USER=root ; COMMAND=/usr/sbin/ufw status
Jan 01 08:04:27 cache01 sudo: backupsvc : TTY=tty1 ; PWD=/etc ; USER=root ; COMMAND=/usr/bin/find /var/www -type f
Jan 01 08:04:52 webapp01 sudo: devops01 : TTY=pts/1 ; PWD=/etc ; USER=root ; COMMAND=/usr/bin/systemctl restart nginx
Jan 01 08:05:22 proxy01 sudo: devops01 : TTY=pts/2 ; PWD=/var/log ; USER=root ; COMMAND=/usr/bin/kubectl describe pod webapp
Jan 01 08:05:43 worker01 sudo: dbadmin : TTY=pts/1 ; PWD=/etc ; USER=root ; COMMAND=/usr/bin/systemctl restart nginx
Jan 01 08:07:01 db01 sudo: operator01 : TTY=pts/1 ; PWD=/var/log ; USER=root ; COMMAND=/usr/sbin/ufw status
Jan 01 08:07:36 db01 sudo: backupsvc : TTY=pts/2 ; PWD=/home/backupsvc ; USER=root ; COMMAND=/usr/bin/tail -n 100 /var/log/syslog
Jan 01 08:07:41 proxy01 sudo: dbadmin : TTY=pts/2 ; PWD=/home/dbadmin ; USER=root ; COMMAND=/usr/bin/journalctl -xe
Jan 01 08:08:54 db01 sudo: dbadmin : TTY=pts/3 ; PWD=/var/log ; USER=root ; COMMAND=/usr/bin/chown -R www-data:www-data /var/www/webapp
Jan 01 08:09:13 api01 sudo: webadmin : TTY=pts/1 ; PWD=/opt/app ; USER=root ; COMMAND=/usr/bin/less /var/log/auth.log
Jan 01 08:09:47 proxy01 sudo: monitor : TTY=tty1 ; PWD=/var/log ; USER=root ; COMMAND=/usr/bin/kubectl describe pod webapp
Jan 01 08:10:16 staging01 sudo: operator01 : TTY=pts/0 ; PWD=/home/operator01 ; USER=root ; COMMAND=/usr/bin/systemctl status nginx
Jan 01 08:10:36 proxy01 sudo: operator01 : TTY=tty1 ; PWD=/home/operator01 ; USER=root ; COMMAND=/usr/sbin/ufw status
Jan 01 08:11:25 staging01 sudo: monitor : TTY=tty1 ; PWD=/etc ; USER=root ; COMMAND=/usr/bin/less /var/log/auth.log
